4465,بوعلی,پتروشیمی بوعلی سینا,4,32,2021-03-12 03:17:46.751275,BoualiSina Petro.,BONA1,IRO1BONA0001,BONA1,پتروشیمی بوعلی سینا,50247622569476338,IRO1BONA0004,BONA,,9,1,
35,پاسا,ایران‌یاساتایرورابر,4,15,2021-03-12 03:17:46.751275,Iran Yasa Tire,YASA1,IRO1YASA0001,YASA1,ایران‌یاساتایرورابر,63580313877463104,IRO1YASA0008,YASA,,9,1,
48,پرشیا,توسعه صنعت نفت و گاز پرشیا,4,4,2021-03-12 03:17:46.751275,Oil&Gas Persia,PERS1,IRO1PERS0001,PERS1,توسعه صنعت نفت و گاز پرشیا,10497143354080476,IRO1PERS0006,PERS,,9,1,
55,پکیان,لاستیک‌البرز,4,15,2021-03-12 03:17:46.751275,Alborz Tire,LALZ1,IRO1LALZ0001,LALZ1,لاستیک‌البرز,5208723461432451,IRO1LALZ0001,LALZ,,9,1,
4504,سجامح,ح.مجتمع سیمان غرب آسیا,8,40,2021-03-12 03:23:54.027821,Asia Cement-R,,IRR7SASP0101,SASX1,ح.مجتمع سیمان غرب آسیا,18982971907252877,IRR7SASP0105,SASP,1140,17,26,
2857,بنیرو2,نیروترانس‌,3,20,2021-01-10,Nirou Trans,,IRO1NIRO0002,NIRO2,نیروترانس‌,45633887164584975,IRO1NIRO0008,NIRO,710,8,4,
2953,دلقما2,دارویی‌ لقمان‌,4,31,2021-01-10,Loghman Pharm.,,IRO1DLGM0002,DLGM2,دارویی‌ لقمان‌,57416942394347191,IRO1DLGM0000,DLGM,193,9,4,
4008,کساپا4,سایپاشیشه‌,4,41,2021-01-10,Saipa Glass,,IRO1SISH0004,SISH4,سایپاشیشه‌,8621064006466510,IRO1SISH0001,SISH,432,9,6,
3017,شجم3,صنایع پتروشیمی تخت جمشید,8,32,2021-01-10,Takhte Jamshid,,IRO7TJMP0003,TJMP3,صنایع پتروشیمی تخت جمشید,52481094527801344,IRO7TJMP0009,TJMP,1146,17,29,
3021,سکردح4,سیمان کردستان,4,40,2021-01-10,Kordestan Cem.-R,,IRR1SKOR0104,SKOX4,ح . سیمان کردستان,51043480110813337,IRR1SKOR0101,SKOR,237,9,9,
3022,ختراک2,ریخته‌گری‌ تراکتورسازی‌ ایران‌,4,23,2021-01-10,I. T. Foundry,,IRO1RTIR0002,RTIR2,ریخته‌گری‌ تراکتورسازی‌ ایران‌,66094479427779162,IRO1RTIR0009,RTIR,136,9,4,
4466,شستا,سرمایه گذاری تامین اجتماعی,,27,2021-01-10 22:31:12.583407,Social Sec Inv,,IRO1TAMN0001,TAMN1,سرمایه گذاری تامین اجتماعی,2400322364771558,IRO1TAMN0006,TAMN,,,1,
64,تاپیکو,س. نفت و گاز و پتروشیمی تأمین,4,32,2021-03-12 03:17:46.751275,Tamin Petro.,PTAP1,IRO1PTAP0001,PTAP1,س. نفت و گاز و پتروشیمی تأمین,22560050433388046,IRO1PTAP0001,PTAP,,9,1,
83,تمدن,تامین سرمایه تمدن,4,53,2021-03-12 03:17:46.751275,Tamadon Investment,TMDN1,IRO1TMDN0001,TMDN1,تامین سرمایه تمدن,63679592178109910,IRO1TMDN0003,TMDN,,9,1,
468,لپارس,پارس‌ الکتریک‌,4,21,2021-03-12 03:17:46.751275,Pars Electric,PELC1,IRO1PELC0001,PELC1,پارس‌ الکتریک‌,5187018329202415,IRO1PELC0000,PELC,,9,1,
4521,دکپسولح3,تولید ژلاتین کپسول ایران,5,31,2021-02-19,Iran Gel.Capsule-R,,IRR3IGCZ0103,IGCX3,ح .تولید ژلاتین کپسول ایران,28391185728857178,IRR3IGCZ0101,IGCZ,4513,14,32,
4522,دکپسولح4,تولید ژلاتین کپسول ایران,5,31,2021-02-19,Iran Gel.Capsule-R,,IRR3IGCZ0104,IGCX4,ح .تولید ژلاتین کپسول ایران,53873062317320280,IRR3IGCZ0101,IGCZ,4513,14,33,
3360,غشانح4,شیرپاستوریزه‌پگاه‌خراسان‌,4,30,2021-01-10,Kh. Pegah Dairy-R,,IRR1SPKH0104,SPKX4,ح . شیرپاستوریزه‌پگاه‌خراسان‌,54303212911965261,IRR1SPKH0102,SPKH,307,9,9,
3074,خاهنح3,آهنگری‌ تراکتورسازی‌ ایران‌,3,23,2021-01-10,Iran Tractor F.-R,,IRR1ATIR0103,ATIX3,ح . آهنگری تراکتورسازی‌ ایران‌,49465237169961256,IRR1ATIR0100,ATIR,725,8,8,
46,پرداخت,به پرداخت ملت,4,58,2021-03-12 03:17:46.751275,Behpardakht Mellat,PRKT1,IRO1PRKT0001,PRKT1,به پرداخت ملت,59607545337891226,IRO1PRKT0007,PRKT,,9,1,
66,تاصیکو,سرمایه گذاری صدرتامین,4,5,2021-03-12 03:17:46.751275,Sadr Tamin Inv.,SADR1,IRO1SADR0001,SADR1,سرمایه گذاری صدرتامین,23293437377896568,IRO1SADR0004,SADR,,9,1,
89,ثاخت,بین‌المللی‌توسعه‌ساختمان,4,56,2021-03-12 03:17:46.751275,Int. Const.,BSTE1,IRO1BSTE0001,BSTE1,بین‌المللی‌توسعه‌ساختمان,17800036702302776,IRO1BSTE0000,BSTE,,9,1,
3078,وکارح4,بانک‌ کارآفرین‌,3,44,2021-01-10,Karafarin Bank-R,,IRR1KRAF0104,KRAX4,ح . بانک‌ کارآفرین‌,47301323376503734,IRR1KRAF0102,KRAF,844,8,9,
